,term,change
0,transgender,-10.0
1,bisexual,-10.0
2,gay,-10.0
3,lesbian,-10.0
4,lgbtq,-8.0
5,questioning,-7.0
53,gender expression,1.0
54,gender,1.0
55,homophobia,1.0
56,lgbt,5.0
