,0
98,https://www.healthcare.gov/married-same-sex-couples-and-the-marketplace/
99,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3912575/
100,https://www.ovc.gov/pubs/forge/transgender_notes.html
101,https://www.cdc.gov/hepatitis/populations/gayandbisexualmen.htm
102,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4204396/
103,https://medlineplus.gov/ency/article/001527.htm
104,https://www.edi.nih.gov/people/sep/lgbti/research
105,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3043071/
106,https://www.cdc.gov/std/syphilis/whatyoucando.htm
107,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4261554/
108,https://nnlm.gov/class/beyond-sea-lgbtq-communities-your-best-resource-reduce-health-disparities/8405
109,https://www.cdc.gov/lgbthealth/links.htm
110,https://www.healthypeople.gov/2020/topics-objectives/topic/lesbian-gay-bisexual-and-transgender-health/objectives
111,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4186699/
112,https://www.cdc.gov/std/life-stages-populations/stdfact-msm.htm
113,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4542896/
114,https://www.wichita.va.gov/patients/lgbt.asp
115,https://www.ncbi.nlm.nih.gov/books/nbk361118/
116,https://www.nps.gov/ston/index.htm
117,https://www.hhs.gov/programs/topic-sites/lgbt/enhanced-resources/competency-training/index.html
118,https://www.edi.nih.gov/people/sep/lgbti/resources/DOMA
119,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4059824/
120,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4790470/
121,https://www.cdc.gov/lgbthealth/index.htm
122,https://www.edi.nih.gov/people/sep/lgbti/resources/health
123,https://www.samhsa.gov/behavioral-health-equity/lgbt
124,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4887282/
125,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4532395/
126,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4984311/
127,https://www.ncbi.nlm.nih.gov/pubmed/17287185
128,https://www.dol.gov/agencies/oasp/resources/lgbt-workers
129,https://www.diversity.va.gov/org/lgbt.aspx
130,https://www.cdc.gov/lgbthealth/youth-programs.htm
131,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1449332/
132,http://www.diversity.va.gov/org/lgbt.aspx
133,https://www.nps.gov/articles/lgbtqtheme-transgender.htm
134,https://nnlm.gov/all-of-us/nnlm-reading-club-selection-guide/lgbtq-pride-month
135,https://www.cdc.gov/tobacco/campaign/tips/groups/lgbt.html
136,https://www.ihs.gov/lgbt/health/
137,https://www.eeoc.gov/eeoc/chair/lgbtq_2019.cfm
138,https://www.cdc.gov/msmhealth/stigma-and-discrimination.htm
139,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3721165/
140,https://www.ovc.gov/pubs/forge/sexual_ch_e.html
141,https://www.paloalto.va.gov/services/lgbt.asp
142,https://www.buffalo.va.gov/services/lgbt/index.asp
143,https://youth.gov/collaboration-profiles/lgbtq/best-practices
144,https://www.childwelfare.gov/topics/systemwide/diverse-populations/lgbtq/lgbt-families/
145,https://www.hiv.gov/hiv-basics/overview/history/hiv-and-aids-timeline
146,https://www.cdc.gov/hiv/group/msm/index.html
147,https://www.womenshealth.gov/a-z-topics/
148,https://www.drugabuse.gov/related-topics/substance-use-suds-in-lgbt-populations
149,https://healthfinder.gov/findservices/organizations/organization.aspx?code=hr3450
150,https://www.paloalto.va.gov/services/lgbt/index.asp
151,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3777637/
152,https://www.houston.va.gov/services/lgbt/index.asp
153,https://www.ovc.gov/pubs/forge/tips_outreach.html
154,https://www.eeoc.gov/eeoc/messages/lgbt.cfm
155,https://www.nps.gov/articles/lgbtqtheme-sport.htm
156,https://www.phoenix.va.gov/patients/lgbt_program.asp
157,https://www.womenshealth.gov/30-achievements/29
158,https://www.nps.gov/subjects/tellingallamericansstories/lgbtqheritage.htm
159,https://thisfreelife.betobaccofree.hhs.gov/our-story/lgbt-qa
160,https://www.ncbi.nlm.nih.gov/books/nbk45094/
161,https://www.cdc.gov/actagainstaids/campaigns/transforminghealth/transgenderwomen/index.html
162,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3662085/
163,https://www.ncbi.nlm.nih.gov/books/nbk64802/
164,https://www.ihs.gov/lgbt/
165,https://youth.gov/youth-topics/lgbtq-youth/homelessness
166,https://www.patientcare.va.gov/lgbt/index.asp
167,https://www.hiv.gov/topics/transgender
168,https://www.cdc.gov/hiv/risk/prep/index.html
169,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3328998/
170,https://www.nps.gov/articles/lgbtqtheme-heritage.htm
171,https://www.hud.gov/program_offices/fair_housing_equal_opp/housing_discrimination_and_persons_identifying_lgbtq
172,https://www.patientcare.va.gov/lgbt/
173,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3320670/
174,https://www.patientcare.va.gov/lgbt/va_lgbt_outreach.asp
175,https://www.eeoc.gov/federal/directives/lgbt_complaint_processing.cfm
176,https://youth.gov/youth-topics/runaway-and-homeless-youth/lgbt
177,https://www.nimh.nih.gov/index.shtml
178,https://www.peacecorps.gov/stories/what-its-like-to-serve-as-a-queer-volunteer/
179,https://www.hhs.gov/programs/topic-sites/lgbt/better-information/index.html
180,https://www.asheville.va.gov/lgbt.asp
181,https://www.miami.va.gov/services/lgbt/index.asp
182,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4276565/
183,https://www.nasa.gov/lgbt/
184,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3780721/
185,https://www.cdc.gov/lgbthealth/
186,https://www.ncbi.nlm.nih.gov/pubmed/27865341
187,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1785208/
188,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3215279/
189,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2603519/
190,https://www.cdc.gov/healthyyouth/disparities/lgbtprotectivefactors.htm
191,https://www.edi.nih.gov/people/sep/lgbti/safezone/methodology
192,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4456196/
193,https://www.hhs.gov/programs/topic-sites/lgbt/enhanced-resources/index.html
194,https://www.drugabuse.gov/international/abstracts/creating-lesbian-gay-bisexual-transgender-queer-treatment-sensitive-substance-abuse-counselors
195,https://mchb.hrsa.gov/whusa13/health-status/special-populations/p/lesbian-bisexual-women.html
196,https://www.nps.gov/articles/lgbtqtheme-prologue.htm
197,https://www.ssa.gov/people/same-sexcouples/
198,https://www.patientcare.va.gov/lgbt/va_lgbt_policies.asp
199,http://www.diversity.va.gov/programs/files/lgbt/svac-briefing.pptx
200,https://www.ovc.gov/pubs/forge/transgender_prejudice.html
201,https://www.stopbullying.gov/at-risk/groups/lgbt/index.html
202,https://www.defense.gov/explore/story/article/1874601/pentagon-celebrates-diversity-at-lgbt-pride-month-observance/
203,https://www.nps.gov/history/heritageinitiatives/lgbthistory/index.html
204,https://www.nps.gov/articles/series.htm?id=4dff8155-1dd8-b71b-0b4c2713f34ea25c
205,https://www.ovc.gov/pubs/forge/transgender_community.html
206,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3232420/
207,https://www.tsa.gov/transgender-passengers
208,https://travel.state.gov/content/travel/en/intercountry-adoption/adoption-process/before-you-adopt/lgbti-adoption-resources.html
209,https://www.huduser.gov/portal/periodicals/cityscpe/vol20num3/article1.html
210,https://www.acf.hhs.gov/orr/resource/state-letter-15-06
211,https://www.healthypeople.gov/2020/topics-objectives/topic/lesbian-gay-bisexual-and-transgender-health/national-snapshot
212,https://www.edi.nih.gov/people/sep/lgbti/research/about
213,https://nnlm.gov/class/caring-lgbtq-youth/11613
214,https://www.hiv.gov/topics/blackgay&bisexualmen
215,https://www.hiv.gov/hiv-basics/overview/data-and-trends/statistics
216,https://www.cdc.gov/msmhealth/viral-hepatitis.htm
217,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4244881/
218,https://www.childwelfare.gov/topics/adoption/adopt-ethics/types/lgbt/
219,https://www.cdc.gov/
220,https://www.cdc.gov/lgbthealth/youth-resources.htm
221,https://www.va.gov/vhapublications/viewpublication.asp?pub_id=5438
222,https://www.cdc.gov/msmhealth/resources/national-organizations.htm
223,https://www.nasa.gov/offices/odeo/LGBTQ-special-emphasis
224,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4301205/
225,https://www.ncbi.nlm.nih.gov/books/nbk64806/
226,https://www.healthypeople.gov/node/3494/data-details
227,https://www.hhs.gov/programs/topic-sites/lgbt/enhanced-resources/competency-curricula/index.html
228,https://www.ihs.gov/lgbt/health/transgender/
229,https://www.defense.gov/explore/story/article/1783822/5-things-to-know-about-dods-new-policy-on-military-service-by-transgender-perso/
230,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2000838/
231,https://www.eeoc.gov/eeoc/publications/fs-bathroom-access-transgender.cfm
232,https://www.edi.nih.gov/people/sep/lgbti/ally-work
233,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4701471/
234,https://www.washingtondc.va.gov/services/lgbt/index.asp
235,https://www.edi.nih.gov/people/sep/lgbti/research/resources
236,https://www.cdc.gov/lgbthealth/health-services.htm
237,https://www.ovc.gov/pubs/forge/sexual_gender.html
238,https://www.medicare.gov/
239,https://www.lasvegas.va.gov/services/lgbt/index.asp
240,https://www.columbus.va.gov/services/lgbtq/index.asp
241,https://www.cdc.gov/msmhealth/for-your-health.htm
242,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3337964/
243,https://www.hhs.gov/programs/topic-sites/lgbt/accesstohealthcare/index.html
244,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3432799/
245,https://www.hhs.gov/programs/topic-sites/lgbt/accesstohealthcare/nondiscrimination/index.html
246,https://www.hhs.gov/ash/oah/adolescent-development/healthy-relationships/lgbtq/index.html
247,https://www.cdc.gov/msmhealth/suicide-violence-prevention.htm
248,https://www.cdc.gov/tobacco/disparities/lgbt/index.htm
249,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3312187/
250,https://www.diversity.va.gov/programs/lgbt.aspx
251,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3138983/
252,https://longtermcare.acl.gov/the-basics/lgbt/lgbt-housing-financial-legal-matters.html
253,https://www.cdc.gov/std/life-stages-populations/msm.htm
254,https://www.childwelfare.gov/topics/adoption/adoptive/family-type/glbt-families/
255,https://aidsinfo.nih.gov/understanding-hiv-aids/fact-sheets/25/81/hiv-and-gay-and-bisexual-men
256,https://www.edi.nih.gov/people/sep/lgbti/research/committee
257,https://nicic.gov/lgbtqi-juveniles
258,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4098056/
259,https://aidsinfo.nih.gov/understanding-hiv-aids/glossary/3314/lgbtq
260,https://www.edi.nih.gov/people/sep/lgbti/research/programs
261,https://www.cdc.gov/features/ngmhaad/index.html
262,https://www.hiv.gov/topics/lgbt
263,https://healthfinder.gov/findservices/searchcontext.aspx?topic=2860&service=148
264,https://www.sba.gov/business-guide/grow-your-business/lgbt-owned-businesses
265,https://www.cdc.gov/std/syphilis/stdfact-msm-syphilis.htm
266,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4719579/
267,https://www.cdc.gov/msmhealth/std.htm
268,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3935714/
269,https://youth.gov/youth-topics/lgbtq-youth/school-experiences
270,https://www.va.gov/womenvet/resources/faq06.asp
271,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4869243/
272,https://www.hud.gov/lgbt_resources
273,https://ovc.ncjrs.gov/topic.aspx?topicid=109
274,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4337813/
275,https://youth.gov/collaboration-profiles/lgbtq
276,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2902177/
277,https://www.lasvegas.va.gov/eeo/lesbian_gay_bisexual_transgender_lgbt_program.asp
278,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4255587/
279,https://www.healthcare.gov/transgender-health-care/
280,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2679249/
281,https://www.hhs.gov/programs/topic-sites/lgbt/index.html
282,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4205968/
283,https://www.cdc.gov/actagainstaids/campaigns/transforminghealth/healthcareproviders/sexual-history.html
284,https://www.patientcare.va.gov/lgbt/lgbt_veteran_training.asp
285,https://www.childwelfare.gov/pubs/factsheets/faq-lgbt/
286,https://eric.ed.gov/?id=ed498753
287,https://bookstore.gpo.gov/catalog/lgbt
288,https://www.ihs.gov/lgbt/media/
289,https://mchb.hrsa.gov/whusa11/hstat/hssp/pages/234lbw.html
290,https://travel.state.gov/content/travel/en/international-travel/before-you-go/travelers-with-special-considerations/lgbti.html
291,https://www.cdc.gov/lgbthealth/women.htm
292,https://www.healthypeople.gov/2020/topics-objectives/topic/lesbian-gay-bisexual-and-transgender-health
293,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1114912/
294,https://nnlm.gov/classes/LGBTQ%2BHealth
295,https://www.cdc.gov/msmhealth/hiv.htm
